ensembl_id gene_name
ENSG00000198793 MTOR           
ENSG00000177000 MTHFR          
ENSG00000070831 CDC42          
ENSG00000117713 ARID1A         
ENSG00000116478 HDAC1          
ENSG00000177606 JUN            
ENSG00000162434 JAK1           
ENSG00000143384 MCL1           
ENSG00000196154 S100A4         
ENSG00000143799 PARP1          
ENSG00000119772 DNMT3A         
ENSG00000119888 EPCAM          
ENSG00000095002 MSH2           
ENSG00000159399 HK2            
ENSG00000152256 PDK1           
ENSG00000115415 STAT1          
ENSG00000138413 IDH1           
ENSG00000134086 VHL            
ENSG00000132155 RAF1           
ENSG00000076242 MLH1           
ENSG00000168036 CTNNB1         
ENSG00000067560 RHOA           
ENSG00000068028 RASSF1         
ENSG00000163930 BAP1           
ENSG00000189283 FHIT           
ENSG00000187098 MITF           
ENSG00000196776 CD47           
ENSG00000175054 ATR            
ENSG00000121879 PIK3CA         
ENSG00000157404 KIT            
ENSG00000151247 EIF4E          
ENSG00000138685 FGF2           
ENSG00000145604 SKP2           
ENSG00000134982 APC            
ENSG00000120738 EGR1           
ENSG00000112715 VEGFA          
ENSG00000124813 RUNX2          
ENSG00000136238 RAC1           
ENSG00000105810 CDK6           
ENSG00000157764 BRAF           
ENSG00000106462 EZH2           
ENSG00000077782 FGFR1          
ENSG00000136997 MYC            
ENSG00000185122 HSF1           
ENSG00000125482 TTF1           
ENSG00000168283 BMI1           
ENSG00000148516 ZEB1           
ENSG00000170312 CDK1           
ENSG00000096717 SIRT1          
ENSG00000171862 PTEN           
ENSG00000184937 WT1            
ENSG00000084207 GSTP1          
ENSG00000149311 ATM            
ENSG00000111206 FOXM1          
ENSG00000133703 KRAS           
ENSG00000185591 SP1            
ENSG00000123374 CDK2           
ENSG00000135446 CDK4           
ENSG00000135679 MDM2           
ENSG00000189403 HMGB1          
ENSG00000139618 BRCA2          
ENSG00000150907 FOXO1          
ENSG00000139687 RB1            
ENSG00000165819 METTL3         
ENSG00000142208 AKT1           
ENSG00000051180 RAD51          
ENSG00000140464 PML            
ENSG00000140443 IGF1R          
ENSG00000103197 TSC2           
ENSG00000166851 PLK1           
ENSG00000181019 NQO1           
ENSG00000196712 NF1            
ENSG00000126561 STAT5A         
ENSG00000168610 STAT3          
ENSG00000012048 BRCA1          
ENSG00000169710 FASN           
ENSG00000101752 MIB1           
ENSG00000175387 SMAD2          
ENSG00000141646 SMAD4          
ENSG00000127445 PIN1           
ENSG00000130816 DNMT1          
ENSG00000090339 ICAM1          
ENSG00000079999 KEAP1          
ENSG00000141867 BRD4           
ENSG00000105221 AKT2           
ENSG00000073050 XRCC1          
ENSG00000012061 ERCC1          
ENSG00000087088 BAX            
ENSG00000132646 PCNA           
ENSG00000125968 ID1            
ENSG00000088305 DNMT3B         
ENSG00000101412 E2F1           
ENSG00000159216 RUNX1          
ENSG00000015475 BID            
ENSG00000186716 BCR            
ENSG00000240972 MIF            
ENSG00000102265 TIMP1          
ENSG00000094631 HDAC6          
ENSG00000010671 BTK            
ENSG00000101966 XIAP           
