epoch,step,train_loss
1,99,2107.29833984375
2,199,2074.22607421875
4,299,2078.16552734375
5,399,2011.3658447265625
6,499,2024.137451171875
8,599,2017.5706787109375
9,699,2026.2535400390625
10,799,2069.7451171875
12,899,2076.0
13,999,2026.657470703125
14,1099,2051.2314453125
16,1199,2058.21044921875
17,1299,2040.1724853515625
18,1399,2057.75830078125
20,1499,2020.2625732421875
21,1599,2100.595947265625
22,1699,2040.906982421875
24,1799,2033.884033203125
25,1899,2051.71484375
27,1999,2020.486572265625
28,2099,2082.100341796875
29,2199,2051.25
31,2299,2053.953369140625
32,2399,2020.6756591796875
33,2499,2061.3125
35,2599,2021.527099609375
36,2699,2045.689453125
37,2799,2047.395263671875
39,2899,2044.591064453125
40,2999,2051.15771484375
41,3099,2086.69580078125
43,3199,2057.180419921875
44,3299,2019.417236328125
45,3399,2022.421630859375
47,3499,2030.90869140625
48,3599,2036.1851806640625
49,3699,1150.0843505859375
51,3799,2020.346923828125
52,3899,2044.50439453125
54,3999,2025.885986328125
55,4099,2034.0157470703125
56,4199,2055.0068359375
58,4299,2027.2464599609375
59,4399,2041.226806640625
60,4499,2049.2294921875
62,4599,2074.776611328125
63,4699,2049.01318359375
64,4799,2050.1806640625
66,4899,2001.244384765625
67,4999,2039.26806640625
68,5099,2035.256591796875
70,5199,2008.41748046875
71,5299,2043.4110107421875
72,5399,2088.50830078125
74,5499,2012.4228515625
75,5599,2042.3658447265625
77,5699,2010.587646484375
78,5799,2044.017333984375
79,5899,2024.15283203125
81,5999,2008.1168212890625
82,6099,2103.92724609375
83,6199,2027.247314453125
85,6299,2063.710205078125
86,6399,2035.849365234375
87,6499,2026.2376708984375
89,6599,2085.18017578125
90,6699,2009.224365234375
91,6799,2031.384033203125
93,6899,2052.867919921875
94,6999,1993.69775390625
95,7099,2010.869384765625
97,7199,2039.4476318359375
98,7299,2065.93603515625
99,7399,1131.686767578125
