epoch,step,train_loss
9,99,218.89035034179688
19,199,232.53427124023438
29,299,224.954833984375
39,399,228.75518798828125
49,499,224.60333251953125
59,599,230.900146484375
69,699,220.21414184570312
79,799,235.87615966796875
89,899,229.7377166748047
99,999,223.63929748535156
109,1099,214.49090576171875
119,1199,234.51400756835938
129,1299,212.01852416992188
139,1399,228.1632080078125
149,1499,234.7332763671875
159,1599,227.58123779296875
169,1699,236.43605041503906
179,1799,223.81295776367188
189,1899,225.43441772460938
199,1999,224.71377563476562
209,2099,239.82461547851562
219,2199,216.7301025390625
229,2299,238.11270141601562
239,2399,219.133056640625
249,2499,220.38253784179688
259,2599,232.90237426757812
