train_loss,epoch,step
-inf,0,99
-inf,0,199
-inf,0,299
-inf,0,399
-inf,0,499
-inf,0,599
-inf,0,699
-inf,0,799
-inf,0,899
-inf,1,999
-inf,1,1099
-inf,1,1199
-inf,1,1299
-inf,1,1399
-inf,1,1499
-inf,1,1599
-inf,1,1699
-inf,1,1799
-inf,1,1899
-inf,2,1999
-inf,2,2099
-inf,2,2199
-inf,2,2299
-inf,2,2399
-inf,2,2499
-inf,2,2599
-inf,2,2699
-inf,2,2799
-inf,2,2899
-inf,3,2999
-inf,3,3099
-inf,3,3199
-inf,3,3299
-inf,3,3399
-inf,3,3499
-inf,3,3599
-inf,3,3699
-inf,3,3799
-inf,3,3899
-inf,4,3999
-inf,4,4099
-inf,4,4199
-inf,4,4299
-inf,4,4399
-inf,4,4499
-inf,4,4599
-inf,4,4699
-inf,4,4799
-inf,5,4899
-inf,5,4999
-inf,5,5099
-inf,5,5199
-inf,5,5299
-inf,5,5399
-inf,5,5499
-inf,5,5599
-inf,5,5699
-inf,5,5799
-inf,6,5899
-inf,6,5999
-inf,6,6099
-inf,6,6199
-inf,6,6299
-inf,6,6399
-inf,6,6499
-inf,6,6599
-inf,6,6699
-inf,6,6799
-inf,7,6899
-inf,7,6999
-inf,7,7099
-inf,7,7199
-inf,7,7299
-inf,7,7399
-inf,7,7499
-inf,7,7599
-inf,7,7699
-inf,7,7799
-inf,8,7899
-inf,8,7999
-inf,8,8099
-inf,8,8199
-inf,8,8299
-inf,8,8399
-inf,8,8499
-inf,8,8599
-inf,8,8699
-inf,8,8799
-inf,9,8899
-inf,9,8999
-inf,9,9099
-inf,9,9199
-inf,9,9299
-inf,9,9399
-inf,9,9499
-inf,9,9599
-inf,9,9699
