train_loss,epoch,step
17.28089141845703,0,99
25.35674285888672,0,199
10.044219970703125,0,299
3.6449339389801025,0,399
-18.995681762695312,0,499
-21.51938247680664,0,599
-36.45610046386719,0,699
-28.512943267822266,0,799
-33.85214614868164,0,899
-65.50505065917969,1,999
-69.78319549560547,1,1099
-83.28661346435547,1,1199
-72.80865478515625,1,1299
-100.91496276855469,1,1399
-105.0968017578125,1,1499
-99.71505737304688,1,1599
-146.42222595214844,1,1699
-138.02529907226562,1,1799
-127.1087875366211,1,1899
-151.08892822265625,2,1999
-127.23240661621094,2,2099
-192.63394165039062,2,2199
-184.34637451171875,2,2299
-192.05224609375,2,2399
-193.18748474121094,2,2499
-175.73291015625,2,2599
-219.62255859375,2,2699
-222.11328125,2,2799
-279.4359130859375,2,2899
-225.0904998779297,3,2999
-187.80856323242188,3,3099
-227.56063842773438,3,3199
-259.90216064453125,3,3299
-257.4730224609375,3,3399
-291.325439453125,3,3499
-297.73486328125,3,3599
-231.87088012695312,3,3699
-285.84222412109375,3,3799
-301.88775634765625,3,3899
-270.175048828125,4,3999
-327.41387939453125,4,4099
-343.99005126953125,4,4199
-326.72784423828125,4,4299
-366.4410400390625,4,4399
-271.8583984375,4,4499
-401.925537109375,4,4599
-367.42303466796875,4,4699
-340.0178527832031,4,4799
-304.5816650390625,5,4899
-391.36041259765625,5,4999
-404.2372741699219,5,5099
-419.0227355957031,5,5199
-386.4308776855469,5,5299
-419.1360778808594,5,5399
-371.80560302734375,5,5499
-335.10540771484375,5,5599
-478.5501708984375,5,5699
-428.9564208984375,5,5799
-451.56561279296875,6,5899
-437.8231201171875,6,5999
-467.65814208984375,6,6099
-426.95556640625,6,6199
-494.30517578125,6,6299
-497.74371337890625,6,6399
-528.974365234375,6,6499
-488.3536376953125,6,6599
-503.089599609375,6,6699
-439.0158386230469,6,6799
-466.63055419921875,7,6899
-435.51629638671875,7,6999
-568.5420532226562,7,7099
-472.1141357421875,7,7199
-515.2974853515625,7,7299
-626.8936767578125,7,7399
-520.6359252929688,7,7499
-567.47216796875,7,7599
-555.0753173828125,7,7699
-568.2386474609375,7,7799
-569.4567260742188,8,7899
-575.8302612304688,8,7999
-548.743408203125,8,8099
-507.96343994140625,8,8199
-520.7567138671875,8,8299
-657.430908203125,8,8399
-617.1328735351562,8,8499
-669.654052734375,8,8599
-650.72998046875,8,8699
-650.8778076171875,8,8799
-660.087158203125,9,8899
-483.8125,9,8999
-621.4173583984375,9,9099
-682.0390625,9,9199
-615.4367065429688,9,9299
-618.4864501953125,9,9399
-723.2012329101562,9,9499
-541.7147216796875,9,9599
-647.9287109375,9,9699
